URL,Title,Publish date,Authors,Section,Tags,Sort (Views),Visitors,Views,Engaged minutes,New vis.,Returning vis.,Avg. views new vis.,Avg. views ret. vis.,Avg. minutes new vis.,Avg. minutes ret. vis.,Desktop views,Mobile views,Tablet views,Search refs,Internal refs,Other refs,Direct refs,Social refs,Fb refs,Tw refs,Li refs,Pi refs,Social interactions,Fb interactions,Tw interactions,Li interactions,Pi interactions,Impact
http://www.huffingtonpost.com/entry/joe-biden-julia-louis-dreyfus-cancer-twitter_us_59cdb19ee4b09538b5074bde,Joe Biden Sends His Fellow 'Veep' Julia Louis-Dreyfus A Sweet Message,9/28/17 23:22,Doha Madani,Politics,"@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_news_trends,breast-cancer,celebrities,joe-biden,julia-louis-dreyfus,television,type: news,veep",143619,132692,143619,62442,13036,60146,1.072,1.106,0.77,0.871,39821,90085,13713,6444,53866,1012,7729,68410,66827,1561,5,NA,49224,49182,31,9,2,0
http://www.huffingtonpost.com/entry/neo-nazi-daily-stormer-trump-charlottesville_us_59905c7ee4b08a2472750701,Neo-Nazi Site Daily Stormer Praises Trump's Charlottesville Reaction: 'He Loves Us All',8/13/17 12:15,Dominique Mosbergen,Politics,"@amazonecho,@health_erectile,@health_ibs,@health_models,@team_us_news_trends,charlottesville-virginia,donald-trump,hate-speech,racism,type: news,us-news,white-supremacy",143414,122207,143414,98965,25437,58708,1.086,1.161,1.023,1.23,38973,91757,12684,20674,49486,2245,17582,45120,37135,4282,1,47,55139,54314,632,24,169,0
https://www.huffingtonpost.com/entry/barack-obama-jury-duty-illinois-cook-county_us_59f472c3e4b077d8dfc9dd98,"Barack Obama Plans To Serve America Again, This Time In The Courthouse",10/28/17 10:28,Lee Moran,Politics,"@amazonecho,@health_ibs,@health_models,@team_us_news_trends,barack-obama,cook-county-illinois,type: news,us-news",142892,134858,142892,64559,13196,49344,1.037,1.079,0.944,1.035,26635,106184,10073,852,46383,4337,5643,78736,74599,4132,NA,1,31442,31368,61,9,4,0
http://www.huffingtonpost.com/entry/chris-christie-banner-plane_us_595aaa38e4b0da2c7324fb1d,Banner Plane Urges Chris Christie To 'Get The Hell Off' N.J. Beach,7/3/17 17:52,Chris D'Angelo,Politics,"@genassign,@health_depression,@health_ibs,@health_models,@team_us_news_ga,arts-and-entertainment,chris-christie,island-beach-state-park,seaside-park-new-jersey,travel-and-tourism,type: news,us-news",142570,133472,142570,86052,14323,53463,1.085,1.052,1.1,1.261,33706,94875,13989,5927,50119,1748,6280,72396,71192,1097,1,2,50874,50758,115,1,NA,0
https://www.huffingtonpost.com/entry/trump-kaepernick-alabama-rally_us_59c5b050e4b01cc57ff251fe,"Fans Should Boycott NFL Games Over National Anthem Protests, Trump Says",9/22/17 23:12,Doha Madani,Politics,"@health_erectile,@health_ibs,@health_models,@team_us_news_trends,colin-kaepernick,donald-trump,football,hate-speech,nfl,republican-politics,type: news",142547,131508,142547,131533,22678,80242,1.042,1.15,1.048,1.383,46904,79128,16515,10194,89073,2497,6692,26994,25524,1437,28,3,43108,42734,158,183,33,0
http://www.huffingtonpost.com/entry/jason-kessler-press-conference_us_59909213e4b090964297d1ec,'Unite The Right' Organizer Flees His Press Conference In Charlottesville,8/13/17 14:33,Lydia O'Connor,Politics,"@amazonecho,@breakingnews,@genassign,@health_ibs,@health_models,@team_us_news_ga,alt-right,charlottesville-virginia,politics,racism,type: news,white-supremacists",142536,126510,142536,131654,20715,103704,1.094,1.143,0.948,1.099,70837,54433,17266,6407,113037,288,5206,7192,4055,3129,NA,6,4085,3979,106,NA,NA,0
https://www.huffingtonpost.com/entry/senate-republicans-obamacare-repeal-tax-reform_us_5a0b4c88e4b0bc648a0e6dcd,Senate Headed Toward Including Obamacare Mandate Repeal In Tax Bill,11/14/17 15:24,"Matt Fuller,Arthur Delaney",Politics,"@health_erectile,@health_ibs,@health_models,@team_us_politics,health-care-reform,john-mccain,lamar-alexander,lisa-murkowski,obamacare,party-leaders-of-the-united-states-senate,patty-murray,senate,susan-collins,type: news,united-states-senate-committee-on-",142331,128104,142331,130848,15484,109284,1.097,1.098,1.057,1.046,90034,41509,10788,1198,113874,1338,3602,5313,4403,901,NA,3,5885,5763,79,3,40,1
http://www.huffingtonpost.com/entry/ryan-zinke-hunting-fishing-groups_us_596685afe4b0a8d46d11cae8,Hunting And Fishing Groups Are Starting To Turn On Trump's Interior Secretary,7/14/17 16:45,Chris D'Angelo,Politics,"@genassign,@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_news_ga,conservation,department-of-interior,hunting,interior-department,national-parks,public-land,recreation,ryan-zinke,sports-fishing,type: news",141857,128441,141857,175848,17242,63197,1.065,1.091,1.95,2.268,45135,78817,17905,5344,46359,4456,8305,67606,63368,2916,151,10,30170,29650,169,319,32,1
https://www.huffingtonpost.com/entry/sandy-hook-mom-nicole-hockley-trump-nra_us_5a376c7ee4b040881bebf10a,Sandy Hook Mom Slams Trump For Partying With NRA Head On Massacre Anniversary,12/18/17 4:33,Rebecca Shapiro,Politics,"@health_adhd,@health_depression,@health_erectile,@health_gad,@health_hiv,@health_ibs,@health_models,@health_pain,@team_us_huffpost_now,donald-trump,national-rifle-association,sandy-hook-elementary-school-shooting,type: news,us-news,wayne-lapierre",141815,108468,141815,87068,13509,66905,1.122,1.09,0.994,1.09,69804,61536,10475,3548,56900,7178,28042,32663,31022,1558,2,37,37772,37330,246,19,177,0
https://www.huffingtonpost.com/entry/trump-workers-union-rights-2017_us_5a42b5b1e4b025f99e187ea5,"In Less Than A Year, Trump Has Stripped Back Workers’ Ability To Unionize",12/26/17 18:03,Dave Jamieson,Politics,"@health_adhd,@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_enterprise_business,barack-obama,donald-trump,legal-issues,mcdonalds,national-labor-relations-board,republican-politics,trade-unions,type: news,union,us-news",141763,56753,141763,58248,11945,30481,1.119,1.133,0.977,1.002,94788,41291,5684,1304,20499,9288,81668,17693,16087,1365,28,30,29055,28600,300,82,73,1
https://www.huffingtonpost.com/entry/fcc-plans-net-neutrality_us_5a14459ae4b0aa32975df36b,FCC Announces Plans To Repeal Net Neutrality,11/21/17 11:43,Ryan Grenoble,Politics,"@developing @breaking,@genassign,@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_huffpost_now,barack-obama,business-and-finance,federal-communications-commission,net-neutrality,type: news",141561,125309,141561,146489,18876,84197,1.089,1.107,1.367,1.425,72375,61623,7563,2408,85903,6592,9567,26728,25173,1473,80,1,37249,36617,252,357,23,1
http://www.huffingtonpost.com/entry/jimmy-kimmel-obamacare-repeal-trump_us_59c494cbe4b0cdc7733034b7,"Kimmel, Atop Scorched Earth, Takes Aim At Trump Over Health Care Bill",9/22/17 1:15,Nick Visser,Politics,"@bustournewsletter,@genassign,@health_depression,@health_erectile,@health_gad,@health_ibs,@health_models,@team_us_news_ga,affordable-care-act,bill-cassidy,donald-trump,health-care-reform,jimmy-kimmel,lindsey-graham,obamacare,obamacare-repeal,type: news",141515,125798,141515,266888,17771,89228,1.084,1.125,2.235,2.487,67375,58821,15319,2124,90218,1095,12513,26545,23674,2370,NA,1,31619,31280,301,4,34,0
http://www.huffingtonpost.com/entry/senate-republicans-health-care-skinny-bill_us_59777020e4b0e201d57895eb,Here's The Latest Republican Plan For Getting Obamacare Repeal Through The Senate,7/25/17 12:48,"Jonathan Cohn,Matt Fuller",Politics,"@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_news_national_beats,american-health-care-act-of-2017,health-care-reform,health-law,obamacare,political-science,public-health,republican-politics,senate,type: news,us-government-resour",141387,127226,141387,146758,40233,73812,1.048,1.142,0.828,1.487,55357,78904,7126,7912,60352,3500,53151,7523,3897,3548,4,2,4302,3880,390,7,25,1
https://www.huffingtonpost.com/entry/speier-sexual-harassment_us_5a0b0d36e4b00a6eece46f84,Congresswoman Says At Least 2 Members Of Congress Are Sexual Harassers,11/14/17 10:58,Amanda Terkel,Politics,"@breaking,@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_politics,congress,jackie-speier,sex-crimes,type: news,us-news",141290,134507,141290,113119,16309,89727,1.087,1.087,1.097,1.075,73921,57194,10175,13404,87030,10996,7855,10829,9609,1070,1,3,5239,5132,84,7,16,1
https://www.huffingtonpost.com/entry/donald-trump-filemon-vela_us_5a1acb05e4b0cee6c0504421,Congressman Calls Trump 'An Idiot' For Using Egypt Mosque Attack To Promote Border Wall,11/26/17 11:44,Hayley Miller,Politics,"@ads_scary,@health_adhd,@health_depression,@health_erectile,@health_gad,@health_hiv,@health_ibs,@health_models,@health_pain,@team_us_huffpost_now,donald-trump,egypt,international-news,terrorism,type: news,us-news",141208,126755,141208,94781,24581,82594,1.045,1.145,0.763,0.921,42957,81588,16663,9457,79561,15332,10295,16240,13711,853,4,35,11592,11410,123,7,52,0
https://www.huffingtonpost.com/entry/trump-inauguration-protesters-not-guilty_us_5a37e6c2e4b040881becafe2,All 6 Defendants Not Guilty In Key Felony Trial Of Trump Inauguration Protesters,12/21/17 12:15,Ryan J. Reilly,Politics,"@ads_scary,@health_depression,@health_erectile,@health_ibs,@health_models,@team_us_enterprise_social_inequality,activism,dc-police,donald-trump,hate-speech,law-enforcement,legal-issues,type: news,united-states-attorney,us-department-of-justice,us-news",141024,118638,141024,119434,32494,73111,1.057,1.132,0.982,1.162,50804,78776,11444,18500,47411,6655,17881,31572,21177,9117,12,8,36636,35837,745,32,22,0
https://www.huffingtonpost.com/entry/eighth-person-donald-trump-jr-meeting_us_596e3648e4b0e983c05949fb,Here Is The 8th Person Who Was At Donald Trump Jr.'s Meeting With Russians,7/18/17 13:04,Marina Fang,Politics,"@health_erectile,@health_ibs,@health_models,@team_us_news_ga,donald-trump,donald-trump-jr,republican-politics,trump-tower,type: news,us-presidential-elections",140725,130053,140725,174449,17456,82653,1.084,1.086,1.701,1.738,59908,68928,11889,4777,78166,9872,6630,32968,31194,1767,NA,1,3369,3299,53,3,14,0
http://www.huffingtonpost.com/entry/oregon-kate-brown-health-care_us_5980b072e4b08e1430061419,Oregon Doesn't Have Time For This Obamacare Repeal Nonsense,8/1/17 14:46,Jennifer Bendery,Politics,"@health_adhd,@health_depression,@health_erectile,@health_gad,@health_hiv,@health_ibs,@health_models,@health_pain,@team_us_news_national_beats,donald-trump,health-care-reform,kate-brown,legal-issues,lgbtq-sexuality,obamacare,oregon,public-health,racism,rep",140512,125030,140512,111896,19523,82713,1.096,1.154,1.034,1.111,55466,70162,14884,5461,80945,5455,10605,26578,24523,1751,11,3,49867,49545,236,64,22,1
